molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL322333,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)N(C)C,intermediate,5700.0
CHEMBL495798,CCCCCCCCCCCCCC#CC(=O)[C@@H]1COC(C)(C)N1C(=O)OC(C)(C)C,intermediate,3300.0
CHEMBL495816,CCCCCCCCCCCCCC#CC(=O)[C@H](CO)NC(=O)OC(C)(C)C,intermediate,1200.0
CHEMBL67166,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO,intermediate,3860.0
CHEMBL322333,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)N(C)C,intermediate,2170.0
CHEMBL551092,N[C@@H](CO)[C@H](O)/C=C/CCCCCCc1ccc(I)cc1,intermediate,3960.0
CHEMBL551232,N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCc1ccc(I)cc1,active,500.0
CHEMBL561025,N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCc1ccc(I)cc1,intermediate,2780.0
CHEMBL561296,N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCc1ccc(I)cc1,intermediate,2190.0
CHEMBL561434,N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCc1ccc(I)cc1,intermediate,2250.0
CHEMBL559072,N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCCc1ccc(I)cc1,intermediate,3980.0
CHEMBL322333,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)N(C)C,intermediate,5700.0
CHEMBL575560,CCCCCCCCc1ccc(NC(=O)[C@H](N)CO)cc1,intermediate,5000.0
CHEMBL572985,CCCCCCCCc1ccc(NC(=O)[C@@H](N)CO)cc1,intermediate,4300.0
CHEMBL572912,CCCCCCCCc1ccc(NC(=O)C(C)(N)CO)cc1,inactive,10000.0
CHEMBL575356,CCCCCCCCc1ccc(NC(=O)[C@@H](N)COC)cc1,inactive,10000.0
CHEMBL572723,CCCCCCCCc1ccc(NC(=O)C(N)C(C)(C)O)cc1,intermediate,2100.0
CHEMBL583709,CCCCCCCCc1ccc(NC(=O)[C@H](CO)NC)cc1,intermediate,2800.0
CHEMBL427579,CCCCCCCCc1ccc(NC(=O)[C@@H](N)[C@@H](C)O)cc1,active,650.0
CHEMBL575748,CCCCCCCCc1ccc(NC(=O)[C@H](N)[C@H](C)O)cc1,intermediate,2100.0
CHEMBL575959,CCCCCCCCc1ccc(NC(=O)[C@H](N)[C@@H](C)O)cc1,intermediate,1600.0
CHEMBL575960,CCCCCCCCc1ccc(NC(=O)[C@@H](N)[C@H](C)O)cc1,intermediate,1100.0
CHEMBL575137,CCCCCCCCc1ccc(NC(=O)[C@@H](N)[C@@H](O)CC)cc1,intermediate,3200.0
CHEMBL584561,CCCCCCCCc1ccc(CNC(=O)C(N)CO)cc1,inactive,10000.0
CHEMBL572686,CCCCCCCCc1ccc(NC[C@@H](N)CO)cc1,intermediate,5000.0
CHEMBL572687,CCCCCCCCc1ccc(NC(=O)[C@H](N)CCO)cc1,intermediate,2200.0
CHEMBL583979,CCCCCCCCc1ccc(NC(=O)[C@@H](N)CCO)cc1,active,50.0
CHEMBL575772,CCCCCCCCc1ccc(NC(=O)C(N)CCO)cc1,active,180.0
CHEMBL574941,CCCCCCCCc1ccc(NC(=O)C(N)CCCO)cc1,inactive,10000.0
CHEMBL568698,CCCCCCCCc1ccc(NC(=O)[C@@H](N)CCCCO)cc1,intermediate,4000.0
CHEMBL585551,CCCCCCCCc1ccc(CNC(=O)C(N)CCO)cc1,intermediate,3500.0
CHEMBL574237,CCCCCCCCc1ccc(NCC(N)CCO)cc1,inactive,10000.0
CHEMBL574238,CCCCCCCCc1ccc(NC(=O)[C@H]2NCC[C@@H]2O)cc1,active,62.0
CHEMBL575357,CCCCCCCCc1ccc(NC(=O)[C@H]2NCC[C@H]2O)cc1,intermediate,3400.0
CHEMBL575358,CCCCCCCCc1ccc(NC(=O)[C@H]2NC[C@@H](O)[C@@H]2O)cc1,intermediate,8300.0
CHEMBL572954,CCCCCCCCc1ccc(CNC(=O)[C@H]2NCC[C@@H]2O)cc1,active,430.0
CHEMBL572955,CCCCCCCCc1ccc(CCNC(=O)[C@H]2NCC[C@@H]2O)cc1,intermediate,6200.0
CHEMBL578596,CCCCCCCCc1ccc(NC[C@H]2NCC[C@@H]2O)cc1,active,740.0
CHEMBL1209686,CC[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCCC3)n2)cc1,active,10.0
CHEMBL1209685,C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCCC3)n2)cc1,active,20.0
CHEMBL1209617,C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCC3)n2)cc1,active,58.0
CHEMBL1209616,CCCCCCCc1nc(-c2ccc([C@@H](NC(=O)[C@H]3NCC[C@@H]3O)C(C)C)cc2)no1,active,110.0
CHEMBL1209615,CCCCCCCc1nc(-c2ccc([C@H](CC)NC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,30.0
CHEMBL1209614,CCCCCCCc1nc(-c2ccc([C@H](C)NC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,48.0
CHEMBL1209546,CCCCCCCc1nc(-c2ccc([C@@H](C)NC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,intermediate,3800.0
CHEMBL1209545,O=C(NCc1ccc(-c2noc(CCc3ccccc3)n2)cc1)[C@H]1NCC[C@@H]1O,active,720.0
CHEMBL1209544,O=C(NCc1ccc(-c2noc(CCC3CCCCC3)n2)cc1)[C@H]1NCC[C@@H]1O,active,25.0
CHEMBL1209543,O=C(NCc1ccc(-c2noc(CCC3CC3)n2)cc1)[C@H]1NCC[C@@H]1O,intermediate,5000.0
CHEMBL1209542,O=C(NCc1ccc(-c2noc(CCC3CCCC3)n2)cc1)[C@H]1NCC[C@@H]1O,active,68.0
CHEMBL1209464,O=C(NCc1ccc(-c2noc(C3CCCCCC3)n2)cc1)[C@H]1NCC[C@@H]1O,active,620.0
CHEMBL1209463,O=C(NCc1ccc(-c2noc(C3CCCC3)n2)cc1)[C@H]1NCC[C@@H]1O,intermediate,2600.0
CHEMBL1209462,CC1(c2nc(-c3ccc(CNC(=O)[C@H]4NCC[C@@H]4O)cc3)no2)CCCCC1,active,210.0
CHEMBL1209461,O=C(NCc1ccc(-c2noc(C3CCCCC3)n2)cc1)[C@H]1NCC[C@@H]1O,active,380.0
CHEMBL1209460,CCCCCc1nc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,430.0
CHEMBL1209388,CCCCCCc1nc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,49.0
CHEMBL1209387,CCCCCCCc1cc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)n[nH]1,intermediate,1100.0
CHEMBL1209386,CCCCCCCc1cnc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)s1,active,70.0
CHEMBL1209385,CCCCCCCc1noc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)n1,active,61.0
CHEMBL1209384,CCCCCCCc1cn(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)nn1,intermediate,1100.0
CHEMBL1209326,CCCCCCCc1nnc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)o1,intermediate,2200.0
CHEMBL1209325,CCCCCCCc1nc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)nn1C,active,610.0
CHEMBL1209324,CCCCCCCCc1nc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,86.0
CHEMBL1209323,CCCCCCCCc1nc(-c2ccc(NC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,inactive,10000.0
CHEMBL1209322,CCCCCCCc1nc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,68.0
CHEMBL1209256,CCCCCCCc1nc(-c2ccc(NC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,inactive,10000.0
CHEMBL574238,CCCCCCCCc1ccc(NC(=O)[C@H]2NCC[C@@H]2O)cc1,active,62.0
CHEMBL1209687,CC[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCC3)n2)cc1,active,56.0
CHEMBL2316958,CC(C)=CC(=O)CCC(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,active,1000.0
CHEMBL2409893,CC(C)(C)c1csc(Nc2ccc(CCN3CC[C@H](O)C[C@@H]3CO)cc2)n1,intermediate,5000.0
CHEMBL2409878,N#Cc1ccc(-c2csc(Nc3ccc(CCN4CCCC[C@@H]4CO)cc3)n2)cc1,inactive,10000.0
CHEMBL2409855,OCCC1CCCCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,inactive,10000.0
CHEMBL2409858,O=S1(=O)CCN(CCc2ccc(Nc3nc(-c4ccc(Cl)c(Cl)c4)cs3)cc2)C(CO)C1,intermediate,6100.0
CHEMBL2409857,OCC1COCCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,intermediate,3100.0
CHEMBL2409866,OC[C@H]1C[C@@H](O)CCN1CCCc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,intermediate,2500.0
CHEMBL2407201,COC[C@H]1CCCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,intermediate,2300.0
CHEMBL2409874,COc1ccccc1-c1csc(Nc2ccc(CCN3CCCC[C@@H]3CO)cc2)n1,intermediate,2100.0
CHEMBL2409853,OC1CCCN(CCc2ccc(Nc3nc(-c4ccc5ccccc5c4)cs3)cc2)C1,intermediate,2100.0
CHEMBL2409871,OC[C@H]1CCCCN1CCc1ccc(Nc2nc(-c3ccccc3)cs2)cc1,intermediate,2000.0
CHEMBL2409854,OC1CCN(CCc2ccc(Nc3nc(-c4ccc5ccccc5c4)cs3)cc2)CC1,intermediate,1800.0
CHEMBL2407199,OCC1CCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,intermediate,1600.0
CHEMBL2409873,Cc1ccccc1-c1csc(Nc2ccc(CCN3CCCC[C@@H]3CO)cc2)n1,intermediate,1100.0
CHEMBL2409860,OC[C@@H]1CCCCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,intermediate,1100.0
CHEMBL2409856,CN1CCN(CCc2ccc(Nc3nc(-c4ccc5ccccc5c4)cs3)cc2)C(CO)C1,active,1000.0
CHEMBL2407092,OC[C@@H]1CCCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,active,990.0
CHEMBL2409852,OCC1CCCCCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,active,920.0
CHEMBL2407200,OC[C@H]1CCCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,active,580.0
CHEMBL2409863,OC[C@@H]1C[C@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,active,450.0
CHEMBL2409869,OC[C@H]1C[C@H](O)CN1CCc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,active,410.0
CHEMBL2409887,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(F)cc3)cs2)cc1,active,360.0
CHEMBL2409882,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3cccc(F)c3)cs2)cc1,active,320.0
CHEMBL2409876,OC[C@H]1CCCCN1CCc1ccc(Nc2nc(-c3cccc(Cl)c3)cs2)cc1,active,270.0
CHEMBL2409864,C[C@]1(O)CCN(CCc2ccc(Nc3nc(-c4ccc5ccccc5c4)cs3)cc2)[C@@H](CO)C1,active,230.0
CHEMBL2409862,OC[C@H]1C[C@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,active,220.0
CHEMBL2409875,OC[C@H]1CCCCN1CCc1ccc(Nc2nc(-c3ccccc3C(F)(F)F)cs2)cc1,active,170.0
CHEMBL2407119,OC[C@H]1CCCCN1CCc1ccc(Nc2nc(-c3ccccc3Cl)cs2)cc1,active,150.0
CHEMBL2409851,OCC1CCCCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,active,140.0
CHEMBL2409846,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(C3CCCC3)cs2)cc1,active,130.0
CHEMBL2409867,OC[C@H]1C[C@@H](O)CN1CCc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,active,130.0
CHEMBL2409872,OC[C@H]1CCCCN1CCc1ccc(Nc2nc(-c3ccccc3F)cs2)cc1,active,120.0
CHEMBL2409877,OC[C@H]1CCCCN1CCc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,active,80.0
CHEMBL2409859,OC[C@H]1CCCCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,active,80.0
CHEMBL2409892,CCCCc1csc(Nc2ccc(CCN3CC[C@H](O)C[C@@H]3CO)cc2)n1,active,70.0
CHEMBL2409879,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccccc3)cs2)cc1,active,70.0
CHEMBL2409885,COc1cccc(-c2csc(Nc3ccc(CCN4CC[C@H](O)C[C@@H]4CO)cc3)n2)c1,active,50.0
CHEMBL2409890,COc1ccc(-c2csc(Nc3ccc(CCN4CC[C@H](O)C[C@@H]4CO)cc3)n2)cc1,active,30.0
CHEMBL2409870,OC[C@H]1C[C@H](O)CN1CCCc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,active,30.0
CHEMBL2409868,OC[C@H]1C[C@@H](O)CN1CCCc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,active,30.0
CHEMBL2409891,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,active,20.0
CHEMBL2409883,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3cccc(Cl)c3)cs2)cc1,active,20.0
CHEMBL2409880,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccccc3F)cs2)cc1,active,20.0
CHEMBL2409865,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,active,20.0
CHEMBL2409861,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,active,20.0
CHEMBL2407198,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(C3CCCCC3)cs2)cc1,active,10.0
CHEMBL2409884,Cc1cccc(-c2csc(Nc3ccc(CCN4CC[C@H](O)C[C@@H]4CO)cc3)n2)c1,active,10.0
CHEMBL2409881,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccccc3Cl)cs2)cc1,active,10.0
CHEMBL2409888,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,active,8.0
CHEMBL2409889,Cc1ccc(-c2csc(Nc3ccc(CCN4CC[C@H](O)C[C@@H]4CO)cc3)n2)cc1,active,7.0
CHEMBL2409848,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3cccc(C(F)(F)F)c3F)cs2)cc1,active,5.0
CHEMBL2407197,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(C34CC5CC(CC(C5)C3)C4)cs2)cc1,active,5.0
CHEMBL2409886,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3cccc(C(F)(F)F)c3)cs2)cc1,active,5.0
CHEMBL2409849,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(C(F)(F)F)cc3F)cs2)cc1,active,4.0
CHEMBL2409850,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3cc(C(F)(F)F)ccc3F)cs2)cc1,active,3.0
CHEMBL2409847,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(Cl)cc3Cl)cs2)cc1,active,3.0
CHEMBL3086796,CCCCCCCCCCCCc1ccc(CCN2CCC[C@@H]2CO)cc1,intermediate,5300.0
CHEMBL3086799,CCCCCCCCc1ccc(CCN2CCC[C@@H]2CO)cc1,intermediate,2200.0
CHEMBL3086806,CCCCCCCCc1ccc(CCN2CCC(N)CC2)cc1,inactive,16900.0
CHEMBL3086811,CCCCCCCCc1ccc(CCN2CCC(O)CC2)cc1,intermediate,3600.0
CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,28.0
CHEMBL3134156,CCCCCCCCCCCCCCOC[C@@H](O)[C@H](C)N(C)C,inactive,27800.0
CHEMBL1835439,CCCCCCCCCCCCCCC[C@@H](O)[C@H](C)N,intermediate,7100.0
CHEMBL3134155,CCCCCCCCCCCCCCC[C@@H](O)[C@H](CO)NC(=S)Nc1cccc(C(F)(F)F)c1,inactive,69000.0
CHEMBL3287035,CCCCCCCCCCCCC/C=C/[C@H](O)[C@@H](CO)NC(=N)N.Cl,active,40.0
CHEMBL3334679,Cc1csc(Nc2nc(-c3nccs3)cs2)n1,intermediate,7300.0
CHEMBL3416759,C[C@@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCC3)n2)cc1,active,58.0
CHEMBL3086811,CCCCCCCCc1ccc(CCN2CCC(O)CC2)cc1,intermediate,3600.0
CHEMBL2409891,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,active,20.0
CHEMBL322333,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)N(C)C,inactive,35790.0
CHEMBL3735039,CCCCCCCCCCCCCC(=O)Nc1nc2ccccc2[nH]1,inactive,40520.0
CHEMBL3736205,CCCOc1ccc(N2C(=O)CC(Nc3ccc(CCO)cc3)C2=O)cc1,inactive,61600.0
CHEMBL3735192,O=C(N/N=C/c1cccc(OCc2ccccc2)c1)c1cc(O)c(O)c(O)c1,inactive,23070.0
CHEMBL3763321,OC[C@H]1C[C@H](O)CN1CCCc1ccc(Nc2nc(-c3cccc(C(F)(F)F)c3)cs2)cc1,active,20.0
CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,3.0
CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,28.0
CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,387.0
CHEMBL3764032,Oc1ccc(Nc2nnc(-c3ccc(I)cc3)o2)cc1,inactive,20000.0
CHEMBL3763496,Clc1ccc(-c2nnc(NCc3ccncc3)o2)cc1,intermediate,3100.0
CHEMBL2409891,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,active,10.0
CHEMBL3813893,COc1cccc(COc2ccc(/C=N/NC(=O)c3ccc(O)c(O)c3)cc2)c1,inactive,25320.0
CHEMBL3814178,COc1cccc(COc2ccc(/C=N/NC(=O)c3cc(O)cc(O)c3)cc2)c1,inactive,100000.0
CHEMBL3814952,COc1cccc(COc2cccc(/C=N/NC(=O)c3ccc(O)cc3)c2)c1,inactive,100000.0
CHEMBL3813800,COc1cccc(COc2cccc(/C=N/NC(=O)c3cccc(O)c3)c2)c1,inactive,100000.0
CHEMBL3814464,COc1cccc(COc2cccc(/C=N/NC(=O)c3ccc(O)c(O)c3)c2)c1,intermediate,5000.0
CHEMBL3813737,COc1cccc(COc2cccc(/C=N/NC(=O)c3cc(O)cc(O)c3)c2)c1,inactive,100000.0
CHEMBL3814344,O=C(N/N=C/c1cccc(OCc2ccccc2)c1)c1ccc2[nH]cnc2c1,inactive,100000.0
CHEMBL3814524,COc1ccc(COc2ccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)cc2)cc1,inactive,100000.0
CHEMBL3814880,COc1cccc(COc2ccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)cc2)c1,intermediate,4360.0
CHEMBL3815127,COc1ccccc1COc1ccc(/C=N/NC(=O)c2cc(O)c(O)c(O)c2)cc1,inactive,18440.0
CHEMBL3815133,O=C(N/N=C/c1ccc(OCc2ccc3ccccc3c2)cc1)c1cc(O)c(O)c(O)c1,inactive,20610.0
CHEMBL3813759,CC(C)(C)c1ccc(COc2ccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)cc2)cc1,inactive,40550.0
CHEMBL3814984,Cc1ccc(COc2ccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)cc2)cc1,inactive,32730.0
CHEMBL3814709,N#Cc1ccc(COc2ccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)cc2)cc1,inactive,27740.0
CHEMBL3814285,N#Cc1cccc(COc2ccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)cc2)c1,inactive,45760.0
CHEMBL3814779,N#Cc1ccccc1COc1ccc(/C=N/NC(=O)c2cc(O)c(O)c(O)c2)cc1,inactive,100000.0
CHEMBL3813951,O=C(N/N=C/c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1)c1cc(O)c(O)c(O)c1,inactive,37400.0
CHEMBL3813988,O=C(N/N=C/c1ccc(OCc2cccc(C(F)(F)F)c2)cc1)c1cc(O)c(O)c(O)c1,inactive,54720.0
CHEMBL3814488,O=C(N/N=C/c1ccc(OCc2ccccc2C(F)(F)F)cc1)c1cc(O)c(O)c(O)c1,inactive,15010.0
CHEMBL3814218,O=C(N/N=C/c1ccc(OCc2ccccc2)cc1)c1cc(O)c(O)c(O)c1,inactive,22020.0
CHEMBL3814312,COc1ccc(COc2cccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)c2)cc1,inactive,100000.0
CHEMBL3814439,COc1cccc(COc2cccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)c2)c1,intermediate,8570.0
CHEMBL3814046,COc1ccccc1COc1cccc(/C=N/NC(=O)c2cc(O)c(O)c(O)c2)c1,inactive,20520.0
CHEMBL3814839,O=C(N/N=C/c1cccc(OCc2cccc3ccccc23)c1)c1cc(O)c(O)c(O)c1,inactive,31300.0
CHEMBL3814810,N#Cc1ccc(COc2cccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)c2)cc1,inactive,69440.0
CHEMBL3815047,N#Cc1cccc(COc2cccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)c2)c1,inactive,85260.0
CHEMBL3814989,N#Cc1ccccc1COc1cccc(/C=N/NC(=O)c2cc(O)c(O)c(O)c2)c1,inactive,45380.0
CHEMBL3814622,CC(C)(C)c1ccc(COc2cccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)c2)cc1,inactive,35220.0
CHEMBL3814091,O=C(N/N=C/c1cccc(OCc2ccc(Cl)cc2)c1)c1cc(O)c(O)c(O)c1,inactive,100000.0
CHEMBL3814059,O=C(N/N=C/c1cccc(OCc2cccc(Cl)c2)c1)c1cc(O)c(O)c(O)c1,inactive,100000.0
CHEMBL3815035,O=C(N/N=C/c1cccc(OCc2ccccc2Cl)c1)c1cc(O)c(O)c(O)c1,inactive,36800.0
CHEMBL3814271,O=C(N/N=C/c1cccc(OCc2ccc(F)cc2)c1)c1cc(O)c(O)c(O)c1,inactive,100000.0
